Source,Target,Weight
三清,紫衣仙女,0.013888888888888888
三清,四大天师,"0.013888888888888888
"
上清灵宝天尊,如来佛祖,0.125
上清灵宝天尊,哪吒,0.125
上清灵宝天尊,右弼,0.125
上清灵宝天尊,左辅,0.125
上清灵宝天尊,三官,0.125
上清灵宝天尊,玉清元始天尊,0.125
上清灵宝天尊,太清道德天尊,0.125
上清灵宝天尊,五斗星君,"0.125
"
不坏尊王,如来佛祖,0.1111111111111111
不坏尊王,哪吒,0.05555555555555555
不坏尊王,四大金刚,0.05555555555555555
不坏尊王,释迦牟尼,0.05555555555555555
不坏尊王,猪八戒,0.05555555555555555
不坏尊王,永住金刚,0.1111111111111111
不坏尊王,胜至金刚,0.05555555555555555
不坏尊王,神通广大,0.05555555555555555
不坏尊王,大力金刚,0.05555555555555555
不坏尊王,释迦牟尼佛,0.05555555555555555
不坏尊王,毗卢沙门,0.05555555555555555
不坏尊王,孙悟空,0.1111111111111111
不坏尊王,泼法金刚,0.05555555555555555
不坏尊王,玉帝,0.05555555555555555
不坏尊王,巨灵神,"0.05555555555555555
"
与世同君,沙僧,0.09090909090909091
与世同君,清风,0.09090909090909091
与世同君,明月,0.09090909090909091
与世同君,孙悟空,0.18181818181818182
与世同君,猪八戒,0.09090909090909091
与世同君,唐僧,0.2727272727272727
与世同君,镇元子,"0.18181818181818182
"
世静光佛,才光明佛,0.1111111111111111
世静光佛,广主严佛,0.1111111111111111
世静光佛,海德光明佛,0.1111111111111111
世静光佛,贤善首佛,0.1111111111111111
世静光佛,日月光佛,0.1111111111111111
世静光佛,日月珠光佛,0.1111111111111111
世静光佛,大慈光佛,0.1111111111111111
世静光佛,慈力王佛,0.1111111111111111
世静光佛,智慧胜佛,"0.1111111111111111
"
丘弘济,仙翁,0.07692307692307693
丘弘济,南斗六司,0.07692307692307693
丘弘济,敖广,0.07692307692307693
丘弘济,许旌阳,0.07692307692307693
丘弘济,北斗七元,0.07692307692307693
丘弘济,高天上圣,0.07692307692307693
丘弘济,大慈仁者,0.07692307692307693
丘弘济,玄穹高上帝,0.07692307692307693
丘弘济,葛仙翁,0.07692307692307693
丘弘济,玉帝,0.07692307692307693
丘弘济,东海龙王,0.07692307692307693
丘弘济,唐僧,0.07692307692307693
丘弘济,玉皇大天尊,"0.07692307692307693
"
