Id,Source,Label
光蕊,光蕊,"猪八戒
"
八宝金身,八宝金身,"八宝金身
"
八极,八极,"猪八戒
"
八部天龙,八部天龙,"猪八戒
"
六丁神将,六丁神将,"猪八戒
"
六耳猕猴,六耳猕猴,"猪八戒
"
兴烘掀,兴烘掀,"兴烘掀
"
典簿,典簿,"猪八戒
"
冷龙,冷龙,"猪八戒
"
净乐国王,净乐国王,"猪八戒
"
净坛使者菩萨,净坛使者菩萨,"八宝金身
"
凌空子,凌空子,"凌空子
"
凌虚子,凌虚子,"猪八戒
"
凤仙郡郡侯上官氏,凤仙郡郡侯上官氏,"猪八戒
"
判官,判官,"猪八戒
"
力士,力士,"猪八戒
"
功德华佛,功德华佛,"善游步佛
"
劲节十八公,劲节十八公,"凌空子
"
勾死人,勾死人,"阎罗王
"
北斗七元,北斗七元,"猪八戒
"
北方北极玄灵,北方北极玄灵,"东方崇恩圣帝
"
北极玄灵,北极玄灵,"东方崇恩圣帝
"
十二元辰,十二元辰,"猪八戒
"
十洲三岛仙翁,十洲三岛仙翁,"东方崇恩圣帝
"
千里眼,千里眼,"高天上圣
"
半截观音,半截观音,"地涌夫人
"
华光菩萨,华光菩萨,"火焰五光佛
"
南山大王,南山大王,"猪八戒
"
南斗六司,南斗六司,"猪八戒
"
南方南极观音,南方南极观音,"东方崇恩圣帝
"
南极星君,南极星君,"猪八戒
"
南极观音,南极观音,"东方崇恩圣帝
"
南海龙王,南海龙王,"猪八戒
"
卞城王,卞城王,"阎罗王
"
危月燕,危月燕,"太阴
"
卵二姐,卵二姐,"猪八戒
"
参水猿,参水猿,"太阴
"
可韩丈人真君,可韩丈人真君,"猪八戒
"
右弼,右弼,"猪八戒
"
哪吒,哪吒,"猪八戒
"
唐僧,唐僧,"猪八戒
"
善游步佛,善游步佛,"善游步佛
"
善胜皇后,善胜皇后,"猪八戒
"
善财童子,善财童子,"猪八戒
"
善财龙女,善财龙女,"猪八戒
"
四值功曹,四值功曹,"猪八戒
"
四大天师,四大天师,"猪八戒
"
四大天王,四大天王,"猪八戒
"
四大将,四大将,"猪八戒
"
四大灵官,四大灵官,"猪八戒
"
四大菩萨,四大菩萨,"猪八戒
"
四大金刚,四大金刚,"猪八戒
"
四帝,四帝,"东方崇恩圣帝
"
四海龙王,四海龙王,"猪八戒
"
四渎,四渎,"猪八戒
"
国师王菩萨,国师王菩萨,"猪八戒
"
土地,土地,"猪八戒
"
圣婴大王,圣婴大王,"猪八戒
"
地涌夫人,地涌夫人,"地涌夫人
"
地藏王菩萨,地藏王菩萨,"猪八戒
"
城隍,城隍,"猪八戒
"
增长天王,增长天王,"猪八戒
"
复海大圣,复海大圣,"牛魔王
"
多闻天王,多闻天王,"猪八戒
"
夜游神,夜游神,"猪八戒
"
大力天王,大力天王,"猪八戒
"
大力金刚,大力金刚,"猪八戒
"
大势至菩萨,大势至菩萨,"八宝金身
"
大慈仁者,大慈仁者,"高天上圣
"
大慈光佛,大慈光佛,"世静光佛
"
大慧力王佛,大慧力王佛,"观世灯佛
"
大通光佛,大通光佛,"观世灯佛
"
大鹏金翅雕,大鹏金翅雕,"猪八戒
"
天佑,天佑,"猪八戒
"
天官,天官,"猪八戒
"
天蓬,天蓬,"猪八戒
"
太上老君,太上老君,"猪八戒
"
太乙救苦天尊,太乙救苦天尊,"猪八戒
"
太清道德天尊,太清道德天尊,"猪八戒
"
太白金星,太白金星,"猪八戒
"
太阳,太阳,"猪八戒
"
太阴,太阴,"猪八戒
"
奎星,奎星,"猪八戒
"
奎木狼,奎木狼,"太阴
"
奔波儿灞,奔波儿灞,"猪八戒
"
女土蝠,女土蝠,"太阴
"
如意真仙,如意真仙,"猪八戒
"
如来佛祖,如来佛祖,"猪八戒
"
妙音声佛,妙音声佛,"观世灯佛
"
姮娥仙子,姮娥仙子,"猪八戒
"
娄金狗,娄金狗,"太阴
"
婆留那佛,婆留那佛,"善游步佛
"
嫦娥,嫦娥,"猪八戒
"
孔圣人,孔圣人,"猪八戒
"
孔雀大明王,孔雀大明王,"猪八戒
"
孙悟空,孙悟空,"猪八戒
"
孤直公,孤直公,"凌空子
"
守山大神,守山大神,"猪八戒
"
宋帝王,宋帝王,"阎罗王
"
宝光佛,宝光佛,"善游步佛
"
宝幢光王佛,宝幢光王佛,"接引佛祖
"
宝幢王佛,宝幢王佛,"宝幢王佛
"
宝月光佛,宝月光佛,"善游步佛
"
宝象国王,宝象国王,"猪八戒
"
室火猪,室火猪,"太阴
"
寅将军,寅将军,"熊山君
"
寇梁,寇梁,"猪八戒
"
寇洪,寇洪,"猪八戒
"
寇铭,寇铭,"穿针儿
"
寿星,寿星,"猪八戒
"
小钻风,小钻风,"猪八戒
"
小骊龙,小骊龙,"泾河龙王
"
小黄龙,小黄龙,"泾河龙王
"
小鼍龙,小鼍龙,"猪八戒
"
尾火虎,尾火虎,"太阴
"
山神,山神,"猪八戒
"
